,Label,Sub-Label,Book titles,Song titles,Movies titles
121,Disorder,"Depression
",cheer-up-at -all-costs, Eighth Wonder by Lemon Demon,Grace ( what if it works)
122,Disorder,"Depression
",The Antidote: Happiness for people who cannot stand positive thinking” by Oliver Burkeman.,Saturnz Barz by Gorillaz,Tyler durden ( Fight club)
123,Disorder,"Depression
","The Alchemist"" by Paulo Coelho",Music To Walk Home By by Tame Impala.,Genius ( frankie and alice) 
124,Disorder,"Depression
",The Glass Castle.,In The Wings by Mother Mother!,Busy inside
125,Disorder,"Depression
",A Prayer For Owen Meany by John Irving,"Jigsaw, by Conan Gray",hudson millbank ( Numb)
126,Disorder,"Depression
",The Mindful Way through Depression,"Nightmare, by Set It Off",john malkovich( being john malkovich) 
127,Disorder,"Depression
",The Upward Spiral,"Killer In The Mirror, by Set It Off",disco elysium ( RPG game)
128,Disorder,"Depression
",All the Light We Cannot See,"Look Who's Inside Again, by Bo Burnham",serial experiments lain ( anime) 
129,Disorder,"Depression
",Notes from Underground,"Right Brain, Left Brain, by Bo Burnham","Brittany Robinson
Thin"
130,Disorder,"Depression
",Good Omens,Six Degrees of Inner Turbulence Part 2. - Dream Theater,"Perfect Body
Andie Bradley"
131,Disorder,"Depression
",Reasons to Stay Alive by Matt Haig,black out days - phantogram,"Stella
My skinny sister"
132,Disorder,"Depression
","FIRST, WE MAKE THE BEAST BEAUTIFUL BY SARAH WILSON",Afraid’ by the Neighbourhood ,"Camila
Paula "
133,Disorder,"Anxiety
","""Anxious for Nothing: Finding Calm in a Chaotic World"" by Max Lucado -",‘Border Ch.III’ by Lewis Del Mar,Hannah - Starving in Suburbia
134,Disorder,"Anxiety
","""The Worry Trick: How Your Brain Tricks You into Expecting the Worst and What You Can Do About It"" by David A. Carbonell -",Achilles Come Down by Gang of Youths,Olivia - Feed
135,Disorder,"Anxiety
","""When Panic Attacks:by David D. Burns -",neon brother' from 'nothing but thieves',"Ellen
To the bone"
136,Disorder,"Anxiety
","""Dare: The New Way to End Anxiety and Stop Panic Attacks"" by Barry McDonagh -",How to disappear completely by Radiohead,Secretary (2002) -  Maggie Gyllenhaal and James Spader 
137,Disorder,"Anxiety
","""First, We Make the Beast Beautiful: A New Journey Through Anxiety"" by Sarah Wilson -",The mind electric by Miracle Musical,The Sessions (2012) - John Hawkes & Helen Hunt
138,Disorder,"Anxiety
","""Dare: The New Way to End Anxiety and Stop Panic Attacks"" by Barry McDonagh - ",Texas by Mitski,"Don Jon (2013) - Joseph Gordon-Levitt, "
139,Disorder,"Anxiety
","""The Noonday Demon: An Atlas of Depression"" by Andrew Solomon -",The used - cathedral bells,Kinsey (2004) -  Alfred Kinsey
140,Disorder,"Anxiety
","""My Age of Anxiety: Fear, Hope, Dread, and the Search for Peace of Mind"" by Scott Stossel",Siouxsie and the Banshees - Hall of Mirrors,Shame (2011) - Michael Fassbender 
141,Disorder,"Anxiety
","""The Anxiety and Phobia Workbook"" by Edmund J. Bourne -",Billy Talent - Surrender ,Brokeback Mountain (2005) - Heath Ledger and Jake Gyllenhaal
142,Disorder,"Separation Anxiety Disorder
","""The Invisible String"" by Patrice Karst -",Red - Faceless,Moonlight (2016) - chiron
143,Disorder,"Separation Anxiety Disorder
","""Attachment-Focused Parenting: Effective Strategies to Care for Children"" by Daniel A. Hughes -",A Mask of my Own Face - Lemon Demon,The Danish Girl (2015) -  Eddie Redmayne as Lili Elbe
144,Disorder,"Separation Anxiety Disorder
","""Helping Your Child Overcome Separation Anxiety or School Refusal: by Andrew R. Eisen and Linda B. Engler -",It's Happening Again - Agnes Obel,Carol (2015) - Rooney Mara Cate Blanchett
145,Disorder,"Separation Anxiety Disorder
","""Separation Anxiety in Children and Adolescents: An Individualized Approach to Assessment and Treatment"" by Andrew R. Eisen and Charles E. Schaefer -",Birdhouse in Your Soul - They Might be Giants,"Love, Simon (2018) - Nick Robinson"
146,Disorder,"Separation Anxiety Disorder
","""I Don't Want to Go to School"" by Nancy L. Carlson -",I Left My Body - They Might be Giants,"The Adventures of Priscilla, Queen of the Desert (1994) -"
147,Disorder,"Separation Anxiety Disorder
","""Wemberly Worried"" by Kevin Henkes",Teddy Bear - Melanie Martinez,Paris is Burning (1990) -
148,Disorder,"Separation Anxiety Disorder
","""The Kissing Hand"" by Audrey Penn -",still feel - half alive,Pride (2014) -
149,Disorder,"Panic Disorder
","""The Mindfulness and Acceptance Workbook for Anxiety: by John P. Forsyth and Georg H. Eifert -",I Am Not Me - KONGOS,The Butterfly Effect (2004) - Ashton Kutcher 
150,Disorder,"Panic Disorder
","""Panic: Origins, Insight, and Treatment"" by David V. Sheehan - ",Empty - Metric,A Clockwork Orange (1971) - alex
151,Disorder,"Panic Disorder
","""The 10 Best-Ever Anxiety Management Techniques: by Margaret Wehrenberg -",eight by sleeping at last ,We Need to Talk About Kevin (2011) - kevin
152,Disorder,"Panic Disorder
","""Rewire Your Anxious Brain: How to Use the Neuroscience of Fear to End Anxiety, Panic, and Worry"" by Catherine M. Pittman and Elizabeth M. Karle",Scars to your beautiful - Alessia Cara,"Rebel Without a Cause (1955) - Starring James Dean,"
153,Disorder,"Panic Disorder
","""Dying of Embarrassment:"" by Barbara G. Markway, C. Alec Pollard, Teresa Flynn, and Cheryl N. Carmin -",Victoria's Secret - Jax,The Good Son (1993) - Macaulay Culkin
154,Disorder,"Panic Disorder
","""The Panic Attacks Workbook: A Guided Program for Beating the Panic Trick"" by David Carbonell -",Waltz Moore — From First To Last,Matchstick Men (2003) - Nicolas Cage 
155,Disorder,"Panic Disorder
","""Don't Panic: Taking Control of Anxiety Attacks"" by Reid Wilson -",Sophie — Eleanor McEvoy,Antwone Fisher (2002) -  Derek Luke
156,Disorder,"Panic Disorder
","""Hope and Help for Your Nerves"" by Claire Weekes -",Tied Together With A Smile — Taylor Swift,The Bad Seed (1956) -
157,Disorder,"Agoraphobia
","""First, We Make the Beast Beautiful: A New Journey Through Anxiety"" by Sarah Wilson -",Pretty — Lauren Alaina,A Clockwork Orange (1971) - alex
158,Disorder,"Agoraphobia
","""My Age of Anxiety: Fear, Hope, Dread, and the Search for Peace of Mind"" by Scott Stossel ",Somebody I Once Knew — Dead Celebrity Status,"Girl, Interrupted (1999) - Winona Ryder"
159,Disorder,"Agoraphobia
",LESBIAN CRUSHES AND BULIMIA: BY NATASHA HOLME,I Go Hungry — Mother Mother ,We Need to Talk About Kevin (2011) - Tilda Swinton
160,Disorder,"Agoraphobia
","""The Anxiety and Phobia Workbook"" by Edmund J. Bourne -",Anorexic Beauty — Pulp,American Psycho (2000) -  Christian Bale
161,Disorder,"Agoraphobia
","""Dare: The New Way to End Anxiety and Stop Panic Attacks"" by Barry McDonagh -",Control — Alexisonfire,Antisocial (2013) -
162,Disorder,"Agoraphobia
","""Agorafabulous!: Dispatches from My Bedroom"" by Sara Benincasa -","""Closer"" by Nine Inch Nails -",Trainspotting (1996) -
163,Disorder,"Agoraphobia
","""Agoraphobia: When Fear Keeps You From Living"" by Cheri L. Warren ","""Let's Get It On"" by Marvin Gaye -",Requiem for a Dream (2000) -
164,Disorder,"Agoraphobia
","""Freedom from Agoraphobia: Overcoming Anxiety Disorder & Rediscovering Your True Self"" by Dannie De Novo -","""Sexual Healing"" by Marvin Gaye -",The Basketball Diaries (1995) -  Leonardo DiCaprio
165,Disorder,"OCD
","""Kissing Doorknobs"" by Terry Spencer Hesser -","""I Want Your Sex"" by George Michael -",Flight (2012) - Denzel Washington
166,Disorder,"OCD
","""The Doubting Disease: Help for Scrupulosity and Religious Compulsions"" by Joseph W. Ciarrocchi -","""Touch My Body"" by Mariah Carey -",28 Days (2000) - Sandra Bullock 
167,Disorder,"OCD
","""Imp of the Mind: Exploring the Silent Epidemic of Obsessive Bad Thoughts"" by Lee Baer","""Tonight (Best You Ever Had)"" by John Legend ft. Ludacris",Beautiful Boy (2018) - Steve Carell
168,Disorder,"OCD
","""Freedom from Obsessive-Compulsive Disorder: A Personalized Recovery Program for Living with Uncertainty"" by Jonathan Grayson -","""Love to Love You Baby"" by Donna Summer -",Half Nelson (2006) - Ryan Gosling
169,Disorder,"OCD
","""Turtles All the Way Down"" by John Green -",girls- girl in red,"Girl, Interrupted (1999) - "
170,Disorder,"OCD
","""The OCD Workbook: "" by Bruce M. Hyman and Cherlene Pedrick -",Sofia- Clairo,American Psycho (2000) - Patrick Bateman
171,Disorder,"OCD
","""Brain Lock: Free Yourself from Obsessive-Compulsive Behavior"" by Jeffrey M. Schwartz -",Born this way- Lady Gaga,Silver Linings Playbook (2012) -
172,Disorder,"OCD
","""The Man Who Couldn't Stop: OCD and the True Story of a Life Lost in Thought"" by David Adam",Honey- Kehlani,One Flew Over the Cuckoo's Nest (1975) -
173,Disorder,"Body Dysmorphic Disorder
","""Reflections"" by Christina Pearson",Therefore I Am- Billie Eilish,Black Swan (2010) - Nina
174,Disorder,"Body Dysmorphic Disorder
","""The Broken Mirror:'' by Katharine A. Phillips -",Lemon boy- Cavetown,Split (2016) -
175,Disorder,"Body Dysmorphic Disorder
","""Life Without Ed ; by Jenni Schaefer -",Crush- Tessa Violet,The Lovely Bones (2009) -
176,Disorder,"Body Dysmorphic Disorder
","""BDD: A Guide to Caring for the Body Dysmorphic Disorder Sufferer"" by Claus V. Pedersen",Boy bi- Mad Tsai,Manchester by the Sea (2016) - Casey Affleck 
177,Disorder,"Body Dysmorphic Disorder
","""The Adonis Complex: "" by Harrison G. Pope Jr., Katharine A. Phillips, and Roberto Olivardia -",Girl Anarchronism- The Dresden Dolls,Ordinary People (1980) -
178,Disorder,"Body Dysmorphic Disorder
","""Overcoming Body Dysmorphic DisordeR : by Fugen Neziroglu, Sony Khemlani-Patel, and Melanie T. Santos -",Answer: Love Myself- BTS,A Monster Calls (2016) -
179,Disorder,PTSD,"""The Deepest Well: Healing the Long-Term Effects of Childhood Adversity"" by Nadine Burke Harris -","""Breaking the Habit"" by Linkin Park -",Rabbit Hole (2010) -
180,Disorder,PTSD,"Transformed by 
trauma by R. Tedeschi 
and B. Moore","""Headstrong"" by Trapt -",Up (2009) -
181,Disorder,PTSD,"Struggle Well by 
K. Falke and J. 
Goldberg ","""Crawling"" by Linkin Park -",Three Colors: Blue (1993)
182,Disorder,PTSD,"The complex PTSD 
workbook by Dr 
Arielle Schwartz","""Control"" by Halsey -",Marley & Me (2008) -
183,Disorder,PTSD,"Oh, William! by
 Elizabeth Strout","""Bad Reputation"" by Joan Jett -","Kathy, Randall
(This is us)"
184,Disorder,PTSD,"The body keeps 
the score by Bessel 
Kolk ","""Riot"" by Three Days Grace",Gaslight (1944) -
185,Disorder,PTSD,"""Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror"" by Judith Herman -","""Animal I Have Become"" by Three Days Grace",Sleeping with the Enemy (1991)
186,Disorder,PTSD,"""On Combat: The Psychology and Physiology of Deadly Conflict in War and Peace"" by Dave Grossman -","""Psycho"" by Puddle of Mudd -",Enough (2002) - Jennifer Lopez
187,Disorder,PTSD,"""It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle"" by Mark Wolynn -","""Bad Guy"" by Billie Eilish -",Big Little Lies (TV Series) -
188,Disorder,PTSD,"""After the War Zone: A Practical Guide for Returning Troops and Their Families"" by Laurie B. Slone and Matthew J. Friedman -","""Smile Like You Mean It"" by The Killers",Notes on a Scandal (2006) -
189,Disorder,PTSD,"""Tribe: On Homecoming and Belonging"" by Sebastian Junger -","""Love the Way You Lie"" by Eminem ft. Rihanna",
190,Disorder,PTSD,"""The PTSD Workbook: Simple, Effective Techniques for Overcoming Traumatic Stress Symptoms"" by Mary Beth Williams and Soili Poijula -","""Control"" by Halsey -",
191,Disorder,PTSD,"""The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma"" by Bessel van der Kolk -","""Under the Bridge"" by Red Hot Chili Peppers -",
192,Disorder,"Dissociative Disorders 
","freshwater by Akwaeke Emezi
 ","""Hurt"" by Johnny Cash (originally by Nine Inch Nails) -",
193,Disorder,"Dissociative Disorders 
", Dissociative Identity Disorder Sourcebook,"""Rehab"" by Amy Winehouse",
194,Disorder,"Dissociative Disorders 
",Stranger in the Mirror by sidney sheldon ,"""The A Team"" by Ed Sheeran -",
195,Disorder,"Dissociative Disorders 
","The Myth of Sanity : Divided Consciousness and the Promise of Awareness, martha Stout","""Swim"" by Jack's Mannequin -",
196,Disorder,"Dissociative Disorders 
","First Person Plural, by Dr Cameron West","""Breaking the Habit"" by Linkin Park -",
197,Disorder,"Dissociative Disorders 
","Me, Not-Me, and We: A Lived Experience Workbook for Phased Recovery from Complex and Relational Trauma with Dissociative Identity Response","""Sober"" by Demi Lovato -",
198,Disorder,"Dissociative Disorders 
",Turtles All the Way Down by John Green,"""Not Afraid"" by Eminem -",
199,Disorder,"Dissociative Disorders 
",A Fractured Mind: My Life with Multiple Personality Disorder- Robert B. Oxham,"""Mr. Brownstone"" by Guns N' Roses -",
200,Disorder,"Dissociative Disorders 
","Haunted Self: Structural Dissociation And Treatment Of Chronic Traumatization
Book by Ellert R. S. Nijenhuis, Kathy Steele, and Onno van der Hart
","""Behind Blue Eyes"" by The Who - ",
201,Disorder,"Dissociative Disorders 
",The Sum of My Parts: A Survivor's Story of Dissociative Identity Disorder,"""Human"" by Christina Perri -",
202,Disorder,"Dissociative Disorders 
",Recovery is my Best Revenge by Carolyn Spring,"""Control"" by Halsey -",
203,Disorder,"Dissociative Disorders 
",Cuckoo - Madison Clell (graphic novel memoir),"""Numb"" by Linkin Park -",
204,Disorder,"Dissociative Disorders 
",All in the Family - LB Lee (graphic novel memoir),"""Demons"" by Imagine Dragons -",
205,Disorder,"Dissociative Disorders 
",The Third Person - Emma Grove (graphic novel memoir),"""Boulevard of Broken Dreams"" by Green Day",
206,Disorder,"Dissociative Disorders 
","Coping with Trauma-Related Dissociation: Skills Training for Patients and Therapists – Suzette Boon, Kathy Steele, Onno van der Hart 2011","""Mad World"" by Tears for Fears or Gary Jules -",
207,Disorder,"Dissociative Disorders 
","The Trinity of Trauma: Ignorance, Fragility, and Control. – Ellert R.S. Nijenhuis 2014","""Tears in Heaven"" by Eric Clapton",
208,Disorder,"Eating Disorders 
",Life Without Ed: How One Woman Declared Independence from Her Eating Disorder and How You Can Too by Jenni Schaefer ,"""My Immortal"" by Evanescence -",
209,Disorder,"Eating Disorders 
",The body tourist by Dana Lise Shavin,"""I Will Remember You"" by Sarah McLachlan -",
210,Disorder,"Eating Disorders 
",LESBIAN CRUSHES AND BULIMIA: A DIARY ON HOW I ACQUIRED MY EATING DISORDER BY NATASHA HOLME,"""Hallelujah"" by Leonard Cohen",
211,Disorder,"Eating Disorders 
",It Was Me All Along By Andie Mitchell ,"""If Tomorrow Never Comes"" by Garth Brooks -",
212,Disorder,"Eating Disorders 
","The Eating Disorder Sourcebook: A Comprehensive Guide to the Causes, Treatments, and Prevention of Eating Disorders by Carolyn Costin","""Supermarket Flowers"" by Ed Sheeran -",
213,Disorder,"Eating Disorders 
","PLEASE EAT…: A MOTHER’S STRUGGLE TO FREE HER TEENAGE SON FROM ANOREXIA BY BEV MATTOCKS
","""Wind Beneath My Wings"" by Bette Midler",
214,Disorder,"Eating Disorders 
",Brave Girl Eating: A Family's Struggle with Anorexia by Harriet Brown,"""See You Again"" by Wiz Khalifa ft. Charlie Puth -",
215,Disorder,"Sexual Disorders
","""Healing Sex: A Mind-Body Approach to Healing Sexual Trauma"" by Staci Haines -","""Nothing Compares 2 U"" by Sinead O'Connor -",
216,Disorder,"Sexual Disorders
","""Arousal: The Secret Logic of Sexual Fantasies"" by Michael J. Bader","""Fix You"" by Coldplay -",
217,Disorder,"Sexual Disorders
","""The Sexual Healing Journey: A Guide for Survivors of Sexual Abuse"" by Wendy Maltz -","""Gaslighter"" by The Chicks -",
218,Disorder,"Sexual Disorders
","""In Pursuit of the Secret Formula: Men, Women, and Why They Get Along the Way They Do"" by Juliet Grayson -","""Praying"" by Kesha -",
219,Disorder,"Sexual Disorders
","""Coping with Erectile Dysfunction: How to Regain Confidence and Enjoy Great Sex"" by Barry W. McCarthy and Michael E. Metz -","""Jar of Hearts"" by Christina Perri",
220,Disorder,"Sexual Disorders
","""The Sex-Starved Marriage: Boosting Your Marriage Libido: A Couple's Guide"" by Michele Weiner Davis -","""White Horse"" by Taylor Swift",
221,Disorder,"Sexual Disorders
","""Come as You Are: The Surprising New Science That Will Transform Your Sex Life"" by Emily Nagoski -","""Fighter"" by Christina Aguilera",
222,Disorder,"Gender identity/Sexual orientation
","""The Gendered Brain: by Gina Rippon -","""No More Drama"" by Mary J. Blige",
223,Disorder,"Gender identity/Sexual orientation
","""This Book Is Gay"" by Juno Dawson -","""Bust Your Windows"" by Jazmine Sullivan -",
224,Disorder,"Gender identity/Sexual orientation
","""Redefining Realness: My Path to Womanhood, Identity, Love & So Much More"" by Janet Mock -","""You Oughta Know"" by Alanis Morissette -",
225,Disorder,"Gender identity/Sexual orientation
","""The ABC's of LGBT+"" by Ashley Mardell -","""Black Widow"" by Iggy Azalea ft. Rita Ora -",
226,Disorder,"Gender identity/Sexual orientation
","""Sissy: A Coming-of-Gender Story"" by Jacob Tobia -",,
227,Disorder,"Gender identity/Sexual orientation
","""Beyond Magenta: Transgender Teens Speak Out"" by Susan Kuklin -",,
228,Disorder,"Gender identity/Sexual orientation
","""Bi: Notes for a Bisexual Revolution"" by Shiri Eisner -",,
229,Disorder,"Gender identity/Sexual orientation
","""The Velvet Rage: Overcoming the Pain of Growing Up Gay in a Straight Man's World"" by Alan Downs -",,
230,Disorder,"Gender identity/Sexual orientation
","""Queer: A Graphic History"" by Meg-John Barker and Julia Scheele -",,
231,Disorder,"Gender identity/Sexual orientation
","'The Picture of Dorian Gray"" by Oscar Wilde",,
232,Disorder,"Impulse control/Conduct disorder
","""The Good Kid Book: How to Solve the 16 Most Common Behavior Problems"" by Howard N. Sloane",,
233,Disorder,"Impulse control/Conduct disorder
","""Treating Conduct and Oppositional Defiant Disorders in Children"" by Arthur M. Horne and Peter Sturmey -",,
234,Disorder,"Impulse control/Conduct disorder
","""Conduct Disorders: A Clinician's Guide to Assessment and Treatment"" by John E. Lochman, W. Michael Nelson, and Brad Donohue -",,
235,Disorder,"Impulse control/Conduct disorder
","""Parenting a Child Who Has Intense Emotions: Dialectical Behavior Therapy Skills to Help Your Child Regulate Emotional Outbursts and Aggressive Behaviors"" by Pat Harvey and Jeanine A. Penzo -",,
236,Disorder,"Impulse control/Conduct disorder
","""Your Defiant Child: Eight Steps to Better Behavior"" by Russell A. Barkley and Christine M. Benton -",,
237,Disorder,"Impulse control/Conduct disorder
","""The Explosive Child: A New Approach for Understanding and Parenting Easily Frustrated, Chronically Inflexible Children"" by Ross W. Greene -",,
238,Disorder,"Antisocial Personality Disorder
","""American Psycho"" by Bret Easton Ellis:",,
239,Disorder,"Antisocial Personality Disorder
","""The Talented Mr. Ripley"" by Patricia Highsmith:",,
240,Disorder,"Antisocial Personality Disorder
","""Without Conscience: The Disturbing World of the Psychopaths Among Us"" by Dr. Robert D. Hare",,
241,Disorder,"Antisocial Personality Disorder
","""Snakes in Suits: When Psychopaths Go to Work"" by Dr. Paul Babiak and Dr. Robert D. Hare:",,
242,Disorder,"Antisocial Personality Disorder
","""The Psychopath Test: A Journey Through the Madness Industry"" by Jon Ronson:",,
243,Disorder,"Antisocial Personality Disorder
","""Confessions of a Sociopath: A Life Spent Hiding in Plain Sight"" by M.E. Thomas",,
244,Disorder,"Addictive disorder/Addiction
","""Clean: Overcoming Addiction and Ending America’s Greatest Tragedy"" by David Sheff:",,
245,Disorder,"Addictive disorder/Addiction
","""Addiction Recovery Management: by John F. Kelly and William L. White",,
246,Disorder,"Addictive disorder/Addiction
","""Unbroken Brain: A Revolutionary New Way of Understanding Addiction"" by Maia Szalavitz:",,
247,Disorder,"Addictive disorder/Addiction
","'Beautiful Boy: A Father's Journey Through His Son's Addiction"" by David Sheff:'",,
248,Disorder,"Addictive disorder/Addiction
","""Chasing the Scream: The First and Last Days of the War on Drugs"" by Johann Hari:",,
249,Disorder,"Addictive disorder/Addiction
","""In the Realm of Hungry Ghosts: Close Encounters with Addiction"" by Gabor Maté: Dr. Gabor Maté,",,
250,Disorder,"Addictive disorder/Addiction
","""Addiction: A Disorder of Choice"" by Gene M. Heyman:",,
251,Disorder,"Addictive disorder/Addiction
","""Memoirs of an Addicted Brain: A Neuroscientist Examines His Former Life on Drugs"" by Marc Lewis:",,
252,Disorder,"Addictive disorder/Addiction
","""The Recovery Book: Answers to All Your Questions About Addiction and Alcoholism and Finding Health and Happiness in Sobriety"" by Al J. Mooney, Catherine Dold, and Howard Eisenberg",,
253,Disorder,Personality disorder,"""I Hate You—Don't Leave Me:",,
254,Disorder,Personality disorder,"""The Borderline Personality Disorder Survival Guide: Everything You Need to Know About Living with BPD"" by Alexander L. Chapman and Kim L. Gratz",,
255,Disorder,Personality disorder,"""Malignant Self-love: Narcissism Revisited"" by Sam Vaknin -",,
256,Disorder,Personality disorder,"""The Psychopath Test: A Journey Through the Madness Industry"" by Jon Ronson",,
257,Disorder,Personality disorder,"""Stop Walking on Eggshells: Taking Your Life Back When Someone You Care About Has Borderline Personality Disorder"" by Paul T. Mason and Randi Kreger -",,
258,Disorder,Personality disorder,"""The Narcissism Epidemic: Living in the Age of Entitlement"" by Jean M. Twenge and W. Keith Campbell",,
259,Disorder,Personality disorder,"""The Sociopath Next Door: The Ruthless Versus the Rest of Us"" by Martha Stout",,
260,Disorder,Grief,"""Healing After Loss: Daily Meditations For Working Through Grief"" by Martha Whitmore Hickman -",,
261,Disorder,Grief,"The year for Magical 
Thinking 
- Joan Didion",,
262,Disorder,Grief,"On death and dying 
- Elisabeth Kubler Ross",,
263,Disorder,Grief,"The courage to grief
- Judy Tatelbaum,
Joan Tate",,
264,Disorder,Grief,"The other side of sadness
- George A Bonanno",,
265,Disorder,Grief,"""Grief Day by Day: Simple Practices and Daily Guidance for Living with Loss"" by Jan Warner",,
266,Disorder,Grief,"""It's Okay That You're Not Okay: Meeting Grief and Loss in a Culture That Doesn't Understand"" by Megan Devine",,
267,Disorder,Grief,"""The Widow's Journal: Questions to Guide You through Grief and Life Planning After the Loss of a Partner"" by Joanne L. Moore -",,
268,Disorder,Grief,"""A Grief Observed"" by C.S. Lewis",,
269,Disorder,Grief,"""When Breath Becomes Air"" by Paul Kalanithi",,
270,Disorder,Grief,"""The Year of Magical Thinking"" by Joan Didion",,
271,Disorder,Grief,"""Option B: Facing Adversity, Building Resilience, and Finding Joy"" by Sheryl Sandberg and Adam Grant",,
272,Disorder,Narcissistic Abuse,"""Becoming the Narcissist's Nightmare: How to Devalue and Discard the Narcissist While Supplying Yourself"" by Shahida Arabi",,
273,Disorder,Narcissistic Abuse,"""Psychopath Free: Recovering from Emotionally Abusive Relationships With Narcissists, Sociopaths, and Other Toxic People"" by Jackson MacKenzie",,
274,Disorder,Narcissistic Abuse,"""The Covert Passive-Aggressive Narcissist: Recognizing the Traits and Finding Healing After Hidden Emotional and Psychological Abuse"" by Debbie Mirza",,
275,Disorder,Narcissistic Abuse,"""Complex PTSD: From Surviving to Thriving: A Guide and Map for Recovering from Childhood Trauma"" by Pete Walker -",,
276,Disorder,Narcissistic Abuse,"""Healing from Hidden Abuse: A Journey Through the Stages of Recovery from Psychological Abuse"" by Shannon Thomas -",,
277,Disorder,Narcissistic Abuse,"""The Gaslight Effect: How to Spot and Survive the Hidden Manipulation Others Use to Control Your Life"" by Dr. Robin Stern",,
278,Disorder,Narcissistic Abuse,"""Will I Ever Be Free of You?: How to Navigate a High-Conflict Divorce from a Narcissist and Heal Your Family"" by Karyl McBride, Ph.D.",,
0,Procrastination,Fear of failure,"""Daring Greatly"" by Brené Brown",,"""Whiplash"" (2014)"
1,Procrastination,Fear of failure,"""Mindset: The New Psychology of Success"" by Carol S. Dweck:",,"""Black Swan"" (2010)"
2,Procrastination,Fear of failure,"""The Art of Possibility"" by Rosamund Stone Zander and Benjamin Zander:",,"""The Pursuit of Happyness"" (2006)"
3,Procrastination,Fear of failure,"""Failing Forward: Turning Mistakes into Stepping Stones for Success"" by John C. Maxwell:",,"""Rocky"" (1976)"
4,Procrastination,Fear of failure,"""The Subtle Art of Not Giving a F*ck"" by Mark Manson",,"""Silver Linings Playbook"" (2012)"
5,Procrastination,Fear of failure,"""You Are a Badass"" by Jen Sincero:",,"""Billy Elliot"" (2000)"
6,Procrastination,Fear of failure,,,"""Her"" (2013)"
7,Procrastination,Fear of failure,,,"""Little Miss Sunshine"" (2006)"
8,Procrastination,Perfectionism,"""Perfectionism: What's Bad About Being Too Good?"" by Miriam Adderholdt-Elliott and Jan Goldberg:",,"""Birdman"" (2014)"
9,Procrastination,Perfectionism,"""The Pursuit of Perfect: How to Stop Chasing Perfection and Start Living a Richer, Happier Life"" by Tal Ben-Shahar",,"""The Aviator"" (2004)"
10,Procrastination,Perfectionism,"""Perfectionism and Gifted Children"" by Rosemary Callard-Szulgit",,"""American Psycho"" (2000)"
11,Procrastination,Perfectionism,"""Too Perfect: When Being in Control Gets Out of Control"" by Allan E. Mallinger and Jeannette De Wyze:",,"""The Social Network"" (2010)"
12,Procrastination,Perfectionism,"""Perfectionism: A Relational Approach to Conceptualization, Assessment, and Treatment"" by Paul L. Hewitt and Gordon L. Flett",,"""The Devil Wears Prada"" (2006)"
13,Procrastination,Perfectionism,"""The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are"" by Brené Brown",,"""Silver Linings Playbook"" (2012)"
14,Procrastination,All or none thinking,"""The Cognitive Behavioral Workbook for Depression: A Step-by-Step Program"" by William J. Knaus and Albert Ellis",,"""Silver Linings Playbook"" (2012)"
15,Procrastination,All or none thinking,"""Feeling Good: The New Mood Therapy"" by David D. Burns:",,"""The Perks of Being a Wallflower"" (2012)"
16,Procrastination,All or none thinking,"""Mind Over Mood: Change How You Feel by Changing the Way You Think"" by Dennis Greenberger and Christine A. Padesky",,"""A Beautiful Mind"" (2001)"
17,Procrastination,All or none thinking,"""The Feeling Good Handbook"" by David D. Burns:",,"""Fight Club"" (1999)"
18,Procrastination,All or none thinking,"""The Happiness Trap: How to Stop Struggling and Start Living: A Guide to ACT"" by Russ Harris",,"""Requiem for a Dream"" (2000) -"
19,Procrastination,All or none thinking,"""Change Your Thinking with CBT: Overcome Stress, Combat Anxiety and Improve Your Life"" by Dr. Sarah Edelman:",,"""Melancholia"" (2011) -"
20,Procrastination,All or none thinking,,,"""Silver Linings Playbook"" (2012)"
21,Procrastination,Overthinking,"""The Worry Trick: How Your Brain Tricks You into Expecting the Worst and What You Can Do About It"" by David A. Carbonell",,"""Eternal Sunshine of the Spotless Mind"" (2004)"
22,Procrastination,Overthinking,"""Chatter: The Voice in Our Head, Why It Matters, and How to Harness It"" by Ethan Kross:",,"""Annie Hall"" (1977)"
23,Procrastination,Overthinking,"""The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play"" by Neil Fiore",,"""Adaptation"" (2002) -"
24,Procrastination,Overthinking,"""Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking"" by S.J. Scott and Barrie Davenport",,"""Inside Out"" (2015)"
25,Procrastination,Overthinking,"""The Power of Now: A Guide to Spiritual Enlightenment"" by Eckhart Tolle:",,"""High Anxiety"" (1977)"
26,Procrastination,Overthinking,"""How to Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present"" by Nathan Weaver",,"""It's Kind of a Funny Story"" (2010)"
27,Procrastination,Overthinking,,,"""Silver Linings Playbook"" (2012) -"
